,0,1,2
147,147,101995,Spiral
148,148,101997,Spiral
149,149,102000,Irregular
150,150,102015,Elliptical Cigar
151,151,102021,Spiral
152,152,102027,Bar Spiral
153,153,102040,Spiral
154,154,102046,Spiral
155,155,102047,Irregular
156,156,102113,Irregular
157,157,102115,Elliptical
158,158,102159,Lenticular
159,159,102174,Elliptical
160,160,102176,Spiral
161,161,102182,Elliptical
162,162,102243,Irregular
163,163,102260,Elliptical
164,164,102271,Irregular
165,165,102295,Elliptical
166,166,102328,Spiral
167,167,102347,Irregular
168,168,102371,Elliptical
169,169,102391,Spiral
170,170,102402,Spiral
171,171,102406,Lenticular
172,172,102407,Spiral
173,173,102422,Spiral
174,174,102433,Spiral
175,175,102471,Elliptical
176,176,102474,Irregular
177,177,102481,Elliptical
178,178,102513,Elliptical
179,179,102556,Elliptical
180,180,102595,Irregular
181,181,102602,Elliptical
182,182,102616,Elliptical
183,183,102642,Elliptical
184,184,102649,Elliptical
185,185,102657,Irregular
186,186,102699,Irregular
187,187,102701,Spiral
188,188,102729,Elliptical
189,189,102731,Elliptical
190,190,102735,Spiral
191,191,102742,Bar Spiral
192,192,102743,Elliptical
193,193,102765,Spiral
194,194,102770,Elliptical
195,195,102799,Elliptical
196,196,102804,Elliptical
197,197,102808,Elliptical
198,198,102812,Spiral
199,199,102822,Irregular
200,200,102834,Elliptical
201,201,102839,Elliptical
202,202,102843,Elliptical
203,203,102863,Spiral
204,204,102871,Elliptical Cigar
205,205,102874,Spiral
206,206,102919,Irregular
207,207,102928,Elliptical
208,208,102933,Elliptical
209,209,102964,Spiral
210,210,102974,Lenticular
211,211,102977,Elliptical
212,212,102982,Spiral
213,213,102990,Spiral
214,214,102998,Irregular
215,215,103019,Spiral
216,216,103037,Spiral
217,217,103040,Spiral
218,218,103072,Elliptical
219,219,103075,Bar Spiral
220,220,103132,Spiral
221,221,103159,Bar Spiral
222,222,103167,Irregular
223,223,103191,Elliptical
224,224,103224,Elliptical
225,225,103233,Elliptical
226,226,103246,Irregular
227,227,103255,Spiral
228,228,103260,Elliptical
229,229,103318,Lenticular
230,230,103323,Elliptical
231,231,103348,Elliptical
232,232,103353,Elliptical
233,233,103354,Elliptical
234,234,103356,Spiral
235,235,103373,Lenticular
236,236,103386,Elliptical
237,237,103393,Elliptical
238,238,103444,Elliptical Cigar
239,239,103445,Spiral
240,240,103491,Bar Spiral
241,241,103500,Elliptical
242,242,103503,Irregular
243,243,103520,Lenticular
244,244,103523,Irregular
245,245,103533,Bar Spiral
246,246,103547,Spiral
247,247,103561,Spiral
248,248,103577,Elliptical
249,249,103592,Irregular
250,250,103610,Elliptical
251,251,103626,Elliptical Cigar
252,252,103645,Elliptical
253,253,103646,Elliptical
254,254,103707,Irregular
255,255,103718,Elliptical
256,256,103731,Elliptical
257,257,103750,Lenticular
258,258,103751,Irregular
259,259,103754,Irregular
260,260,103758,Elliptical
261,261,103769,Lenticular
262,262,103787,Spiral
263,263,103818,Spiral
264,264,103819,Elliptical
265,265,103824,Spiral
266,266,103882,Lenticular
267,267,103900,Elliptical
268,268,103902,Elliptical
269,269,103904,Elliptical
270,270,103907,Elliptical
271,271,103950,Spiral
272,272,103955,Elliptical
273,273,103974,Irregular
274,274,103979,Spiral
275,275,103999,Lenticular
276,276,104001,Spiral
277,277,104008,Lenticular
278,278,104020,Spiral
279,279,104040,Spiral
280,280,104041,Spiral
281,281,104096,Elliptical
282,282,104110,Elliptical
283,283,104131,Bar Spiral
284,284,104141,Elliptical Cigar
285,285,104143,Elliptical
286,286,104159,Elliptical
287,287,104173,Elliptical
288,288,104196,Elliptical
289,289,104212,Spiral
290,290,104216,Spiral
291,291,104222,Lenticular
292,292,104234,Spiral
293,293,104243,Elliptical
294,294,104253,Elliptical
295,295,104267,Spiral
296,296,104268,Spiral
297,297,104279,Irregular
298,298,104281,Elliptical
299,299,104287,Spiral
300,300,104310,Spiral
301,301,104314,Spiral
302,302,104317,Spiral
303,303,104354,Spiral
304,304,104365,Irregular
305,305,104387,Elliptical
306,306,104389,Spiral
307,307,104398,Spiral
308,308,104414,Irregular
309,309,104420,Spiral
310,310,104422,Elliptical
311,311,104440,Elliptical
312,312,104460,Elliptical Cigar
313,313,104478,Spiral
314,314,104516,Elliptical
315,315,104536,Spiral
316,316,104540,Irregular
317,317,104589,Spiral
318,318,104602,Elliptical
319,319,104608,Bar Spiral
320,320,104610,Spiral
321,321,104611,Elliptical
322,322,104612,Elliptical
323,323,104624,Bar Spiral
324,324,104703,Elliptical
325,325,104709,Elliptical
326,326,104721,Spiral
327,327,104723,Spiral
328,328,104751,Irregular
329,329,104764,Elliptical
330,330,104769,Elliptical
331,331,104784,Spiral
332,332,104788,Bar Spiral
333,333,104819,Irregular
334,334,104830,Spiral
335,335,104920,Lenticular
336,336,104929,Elliptical
337,337,104934,Bar Spiral
338,338,104962,Spiral
339,339,104977,Irregular
340,340,104988,Elliptical
341,341,104991,Lenticular
342,342,105009,Bar Spiral
343,343,105014,Irregular
344,344,105020,Elliptical
345,345,105028,Irregular
346,346,105056,Bar Spiral
347,347,105069,Bar Spiral
348,348,105070,Irregular
349,349,105082,Elliptical
350,350,105088,Elliptical
351,351,105092,Elliptical
352,352,105117,Irregular
353,353,105165,Elliptical
354,354,105201,Lenticular
355,355,105216,Lenticular
356,356,105218,Spiral
357,357,105221,Lenticular
358,358,105257,Lenticular
359,359,105258,Elliptical
360,360,105279,Elliptical
361,361,105314,Spiral
362,362,105331,Elliptical Cigar
363,363,105334,Irregular
364,364,105354,Elliptical
365,365,105364,Spiral
366,366,105365,Spiral
367,367,105381,Spiral
368,368,105417,Spiral
369,369,105447,Elliptical
370,370,105459,Elliptical Cigar
371,371,105497,Spiral
372,372,105500,Spiral
373,373,105507,Elliptical
374,374,105513,Spiral
375,375,105529,Lenticular
376,376,105539,Spiral
377,377,105541,Elliptical
378,378,105572,Spiral
379,379,105576,Spiral
380,380,105581,Elliptical
381,381,105613,Spiral
382,382,105631,Spiral
383,383,105648,Elliptical
384,384,105653,Lenticular
385,385,105700,Bar Spiral
386,386,105743,Spiral
387,387,105755,Elliptical
388,388,105757,Elliptical
389,389,105758,Spiral
390,390,105762,Elliptical
391,391,105764,Spiral
392,392,105772,Elliptical
393,393,105774,Spiral
394,394,105787,Spiral
395,395,105797,Elliptical
396,396,105846,Bar Spiral
397,397,105868,Irregular
398,398,105870,Elliptical
399,399,105879,Lenticular
400,400,105881,Irregular
401,401,105900,Irregular
402,402,105902,Lenticular
403,403,105925,Spiral
404,404,105940,Spiral
405,405,105973,Bar Spiral
406,406,105983,Lenticular
407,407,105984,Lenticular
408,408,105986,Lenticular
409,409,105991,Elliptical
410,410,106000,Elliptical
411,411,106018,Elliptical Cigar
412,412,106028,Elliptical
413,413,106039,Spiral
414,414,106040,Elliptical
415,415,106044,Elliptical
416,416,106049,Irregular
417,417,106059,Lenticular
418,418,106079,Irregular
419,419,106105,Elliptical
420,420,106124,Elliptical
421,421,106147,Elliptical
422,422,106165,Spiral
423,423,106170,Elliptical
424,424,106176,Spiral
425,425,106199,Spiral
426,426,106205,Elliptical
427,427,106206,Irregular
428,428,106230,Irregular
429,429,106263,Spiral
430,430,106275,Spiral
431,431,106298,Spiral
432,432,106355,Spiral
433,433,106357,Irregular
434,434,106388,Elliptical
435,435,106390,Spiral
436,436,106409,Irregular
437,437,106429,Spiral
438,438,106432,Spiral
439,439,106463,Elliptical
440,440,106471,Irregular
441,441,106499,Spiral
442,442,106514,Spiral
443,443,106544,Elliptical
444,444,106612,Elliptical
445,445,106621,Bar Spiral
446,446,106646,Lenticular
447,447,106652,Elliptical
448,448,106664,Spiral
449,449,106670,Spiral
450,450,106689,Elliptical
451,451,106694,Elliptical
452,452,106705,Spiral
453,453,106725,Irregular
454,454,106739,Lenticular
455,455,106749,Elliptical
456,456,106773,Elliptical
457,457,106777,Spiral
458,458,106781,Elliptical
459,459,106784,Spiral
460,460,106788,Spiral
461,461,106800,Elliptical
462,462,106803,Lenticular
463,463,106812,Elliptical
464,464,106819,Lenticular
465,465,106829,Elliptical
466,466,106841,Elliptical
467,467,106882,Spiral
468,468,106885,Spiral
469,469,106886,Irregular
470,470,106896,Elliptical
471,471,106919,Elliptical
472,472,106923,Elliptical
473,473,106931,Lenticular
474,474,106944,Irregular
475,475,106973,Elliptical
476,476,106986,Spiral
477,477,107012,Spiral
478,478,107019,Elliptical
479,479,107055,Elliptical
480,480,107064,Spiral
481,481,107084,Spiral
482,482,107106,Elliptical
483,483,107117,Spiral
484,484,107143,Elliptical
485,485,107159,Spiral
486,486,107193,Irregular
487,487,107197,Spiral
488,488,107202,Spiral
489,489,107229,Spiral
490,490,107231,Spiral
491,491,107261,Elliptical
492,492,107268,Spiral
493,493,107272,Irregular
494,494,107290,Lenticular
495,495,107298,Elliptical
496,496,107314,Spiral
497,497,107355,Bar Spiral
498,498,107374,Spiral
499,499,107379,Bar Spiral
500,500,107383,Irregular
501,501,107388,Elliptical Cigar
502,502,107394,Elliptical
503,503,107403,Elliptical
504,504,107406,Spiral
505,505,107415,Spiral
506,506,107422,Spiral
507,507,107434,Irregular
508,508,107435,Elliptical
509,509,107454,Spiral
510,510,107461,Elliptical
511,511,107466,Spiral
512,512,107480,Elliptical
513,513,107496,Irregular
514,514,107510,Elliptical
515,515,107517,Spiral
516,516,107521,Elliptical
517,517,107524,Spiral
518,518,107527,Elliptical
519,519,107539,Elliptical
520,520,107553,Elliptical
521,521,107555,Spiral
522,522,107559,Spiral
523,523,107560,Elliptical
524,524,107562,Bar Spiral
525,525,107563,Spiral
526,526,107573,Elliptical
527,527,107576,Elliptical
528,528,107583,Spiral
529,529,107593,Spiral
530,530,107597,Spiral
531,531,107606,Bar Spiral
532,532,107608,Elliptical
533,533,107610,Elliptical
534,534,107613,Spiral
535,535,107616,Irregular
536,536,107619,Elliptical
537,537,107627,Spiral
538,538,107629,Spiral
539,539,107631,Spiral
540,540,107660,Lenticular
541,541,107688,Elliptical
542,542,107692,Elliptical
543,543,107709,Spiral
544,544,107720,Spiral
545,545,107736,Lenticular
546,546,107745,Spiral
547,547,107747,Spiral
548,548,107794,Elliptical Cigar
549,549,107810,Spiral
550,550,107823,Elliptical
551,551,107828,Elliptical
552,552,107831,Irregular
553,553,107849,Elliptical
554,554,107859,Irregular
555,555,107888,Elliptical
556,556,107943,Lenticular
557,557,107946,Spiral
558,558,107951,Spiral
559,559,107954,Elliptical
560,560,107961,Elliptical
561,561,107966,Elliptical
562,562,107967,Elliptical
563,563,107972,Spiral
564,564,107975,Elliptical
565,565,107985,Irregular
566,566,107987,Lenticular
567,567,108012,Spiral
568,568,108017,Elliptical
569,569,108038,Bar Spiral
570,570,108041,Lenticular
571,571,108051,Spiral
572,572,108066,Elliptical
573,573,108088,Irregular
574,574,108103,Irregular
575,575,108105,Bar Spiral
576,576,108111,Elliptical
577,577,108146,Elliptical
578,578,108160,Elliptical
579,579,108182,Elliptical
580,580,108195,Elliptical
581,581,108207,Elliptical
582,582,108225,Spiral
583,583,108251,Spiral
584,584,108272,Spiral
585,585,108305,Elliptical
586,586,108326,Spiral
587,587,108481,Elliptical
588,588,108497,Lenticular
589,589,108507,Lenticular
590,590,108545,Elliptical
591,591,108551,Elliptical
592,592,108574,Spiral
593,593,108580,Elliptical
594,594,108584,Elliptical
595,595,108601,Spiral
596,596,108608,Spiral
597,597,108624,Elliptical
598,598,108642,Spiral
599,599,108645,Elliptical
600,600,108649,Irregular
601,601,108661,Elliptical
602,602,108672,Elliptical
603,603,108692,Irregular
604,604,108715,Irregular
605,605,108717,Elliptical
606,606,108742,Spiral
607,607,108757,Elliptical
608,608,108764,Irregular
609,609,108772,Spiral
610,610,108779,Spiral
611,611,108786,Irregular
612,612,108914,Elliptical
613,613,108917,Elliptical
614,614,108920,Elliptical
615,615,108928,Elliptical
616,616,108929,Bar Spiral
617,617,108947,Bar Spiral
618,618,108952,Elliptical Cigar
619,619,108959,Elliptical Cigar
620,620,108961,Spiral
621,621,108979,Spiral
622,622,108985,Spiral
623,623,108988,Elliptical
624,624,108991,Elliptical
625,625,108994,Irregular
626,626,109011,Spiral
627,627,109033,Elliptical
628,628,109074,Elliptical
629,629,109083,Irregular
630,630,109096,Lenticular
631,631,109098,Elliptical
632,632,109112,Spiral
633,633,109124,Irregular
634,634,109127,Elliptical
635,635,109132,Bar Spiral
636,636,109135,Spiral
637,637,109155,Elliptical
638,638,109180,Elliptical
639,639,109215,Elliptical
640,640,109255,Lenticular
641,641,109266,Spiral
642,642,109282,Irregular
643,643,109292,Elliptical
644,644,109330,Elliptical
645,645,109333,Irregular
646,646,109360,Elliptical
647,647,109361,Spiral
648,648,109366,Bar Spiral
649,649,109380,Spiral
650,650,109402,Elliptical
651,651,109404,Elliptical
652,652,109414,Lenticular
653,653,109422,Lenticular
654,654,109449,Spiral
655,655,109509,Irregular
656,656,109529,Lenticular
657,657,109568,Bar Spiral
658,658,109595,Elliptical
659,659,109623,Elliptical
660,660,109629,Bar Spiral
661,661,109630,Elliptical
662,662,109682,Elliptical Cigar
663,663,109688,Spiral
664,664,109699,Elliptical
665,665,109715,Elliptical
666,666,109718,Spiral
667,667,109727,Elliptical Cigar
668,668,109740,Elliptical
669,669,109744,Spiral
670,670,109750,Elliptical
671,671,109772,Bar Spiral
672,672,109780,Irregular
673,673,109827,Elliptical
674,674,109868,Spiral
675,675,109879,Irregular
676,676,109885,Lenticular
677,677,109888,Irregular
678,678,109946,Spiral
679,679,109977,Elliptical
680,680,110034,Spiral
681,681,110063,Spiral
682,682,110074,Elliptical
683,683,110076,Elliptical
684,684,110109,Spiral
685,685,110118,Irregular
686,686,110121,Elliptical
687,687,110129,Elliptical
688,688,110139,Elliptical
689,689,110149,Elliptical
690,690,110178,Elliptical
691,691,110195,Elliptical
692,692,110217,Irregular
693,693,110250,Elliptical Cigar
694,694,110285,Spiral
695,695,110306,Elliptical
696,696,110313,Elliptical
697,697,110339,Bar Spiral
698,698,110348,Elliptical Cigar
699,699,110349,Elliptical
700,700,110364,Irregular
701,701,110370,Irregular
702,702,110375,Spiral
703,703,110384,Spiral
704,704,110388,Elliptical
705,705,110389,Irregular
706,706,110404,Spiral
707,707,110411,Elliptical Cigar
708,708,110429,Spiral
709,709,110465,Irregular
710,710,110466,Spiral
711,711,110480,Elliptical
712,712,110521,Spiral
713,713,110528,Spiral
714,714,110538,Elliptical
715,715,110566,Irregular
716,716,110596,Spiral
717,717,110619,Spiral
718,718,110633,Spiral
719,719,110636,Elliptical
720,720,110676,Spiral
721,721,110678,Spiral
722,722,110695,Spiral
723,723,110707,Bar Spiral
724,724,110710,Spiral
725,725,110713,Spiral
726,726,110719,Irregular
727,727,110746,Irregular
728,728,110763,Spiral
729,729,110789,Irregular
730,730,110805,Elliptical
731,731,110808,Spiral
732,732,110821,Elliptical
733,733,110837,Spiral
734,734,110844,Spiral
735,735,110858,Elliptical
736,736,110887,Spiral
737,737,110923,Spiral
738,738,110964,Irregular
739,739,110966,Bar Spiral
740,740,111022,Irregular
741,741,111038,Elliptical
742,742,111121,Spiral
743,743,111123,Spiral
744,744,111125,Spiral
745,745,111141,Spiral
746,746,111142,Elliptical
747,747,111149,Elliptical
748,748,111175,Lenticular
749,749,111182,Irregular
750,750,111207,Elliptical
751,751,111223,Elliptical
752,752,111240,Elliptical
753,753,111245,Elliptical
754,754,111259,Elliptical
755,755,111266,Irregular
756,756,111274,Elliptical
757,757,111286,Lenticular
758,758,111298,Elliptical
759,759,111302,Lenticular
760,760,111305,Bar Spiral
761,761,111312,Elliptical
762,762,111383,Elliptical
763,763,111398,Elliptical
764,764,111399,Elliptical
765,765,111411,Elliptical
766,766,111417,Elliptical
767,767,111428,Elliptical
768,768,111481,Elliptical
769,769,111484,Irregular
770,770,111491,Irregular
771,771,111499,Elliptical Cigar
772,772,111514,Spiral
773,773,111534,Spiral
774,774,111552,Spiral
775,775,111553,Lenticular
776,776,111597,Elliptical
777,777,111615,Bar Spiral
778,778,111622,Spiral
779,779,111658,Spiral
780,780,111660,Elliptical Cigar
781,781,111667,Lenticular
782,782,111681,Elliptical
783,783,111715,Spiral
784,784,111716,Irregular
785,785,111725,Elliptical
786,786,111727,Irregular
787,787,111743,Irregular
788,788,111753,Elliptical
789,789,111770,Spiral
790,790,111775,Spiral
791,791,111791,Bar Spiral
792,792,111792,Spiral
793,793,111793,Elliptical
794,794,111799,Spiral
795,795,111804,Irregular
796,796,111834,Spiral
797,797,111839,Elliptical
798,798,111858,Spiral
799,799,111879,Spiral
800,800,111882,Spiral
801,801,111883,Irregular
802,802,111910,Lenticular
803,803,111924,Irregular
804,804,111937,Elliptical
805,805,111979,Lenticular
806,806,111980,Elliptical
807,807,112016,Elliptical Cigar
808,808,112017,Irregular
809,809,112034,Spiral
810,810,112072,Spiral
811,811,112119,Elliptical
812,812,112122,Irregular
813,813,112125,Spiral
814,814,112135,Elliptical
815,815,112148,Elliptical
816,816,112167,Elliptical
817,817,112177,Spiral
818,818,112188,Spiral
819,819,112196,Spiral
820,820,112229,Elliptical
821,821,112245,Bar Spiral
822,822,112254,Elliptical
823,823,112259,Bar Spiral
824,824,112263,Spiral
825,825,112282,Spiral
826,826,112311,Elliptical
827,827,112314,Irregular
828,828,112345,Spiral
829,829,112359,Elliptical
830,830,112404,Spiral
831,831,112420,Spiral
832,832,112438,Spiral
833,833,112444,Bar Spiral
834,834,112479,Spiral
835,835,112512,Elliptical
836,836,112518,Spiral
837,837,112527,Irregular
838,838,112536,Irregular
839,839,112538,Irregular
840,840,112574,Elliptical
841,841,112586,Spiral
842,842,112592,Elliptical
843,843,112623,Bar Spiral
844,844,112627,Irregular
845,845,112628,Elliptical
846,846,112665,Bar Spiral
847,847,112674,Spiral
848,848,112678,Elliptical
849,849,112698,Spiral
850,850,112700,Irregular
851,851,112726,Irregular
852,852,112764,Elliptical
853,853,112769,Spiral
854,854,112814,Elliptical
855,855,112819,Elliptical Cigar
856,856,112824,Spiral
857,857,112826,Elliptical
858,858,112835,Lenticular
859,859,112841,Elliptical
860,860,112843,Lenticular
861,861,112846,Elliptical
862,862,112873,Spiral
863,863,112918,Elliptical
864,864,112964,Elliptical
865,865,112965,Elliptical
866,866,112988,Lenticular
867,867,112997,Bar Spiral
868,868,113072,Elliptical
869,869,113102,Irregular
870,870,113118,Elliptical
871,871,113142,Elliptical
872,872,113149,Elliptical
873,873,113166,Irregular
874,874,113168,Spiral
875,875,113196,Irregular
876,876,113267,Elliptical
877,877,113271,Spiral
878,878,113279,Irregular
879,879,113284,Spiral
880,880,113289,Spiral
881,881,113303,Bar Spiral
882,882,113305,Elliptical
883,883,113317,Spiral
884,884,113322,Irregular
885,885,113373,Elliptical
886,886,113394,Elliptical
887,887,113402,Bar Spiral
888,888,113417,Irregular
889,889,113418,Elliptical
890,890,113420,Elliptical
891,891,113436,Spiral
892,892,113444,Elliptical
893,893,113452,Elliptical
894,894,113457,Elliptical
895,895,113470,Spiral
896,896,113475,Spiral
897,897,113477,Irregular
898,898,113483,Elliptical
899,899,113509,Bar Spiral
900,900,113510,Bar Spiral
901,901,113512,Spiral
902,902,113516,Elliptical
903,903,113518,Elliptical
904,904,113539,Elliptical
905,905,113553,Lenticular
906,906,113556,Bar Spiral
907,907,113566,Elliptical
908,908,113567,Spiral
909,909,113608,Irregular
910,910,113609,Lenticular
911,911,113617,Lenticular
912,912,113622,Irregular
913,913,113641,Irregular
914,914,113655,Spiral
915,915,113672,Elliptical
916,916,113692,Spiral
917,917,113746,Irregular
918,918,113761,Elliptical
919,919,113766,Elliptical Cigar
920,920,113779,Spiral
921,921,113813,Elliptical
922,922,113823,Spiral
923,923,113828,Elliptical
924,924,113845,Elliptical
925,925,113857,Elliptical
926,926,113858,Spiral
927,927,113903,Elliptical
928,928,113913,Elliptical
929,929,113940,Irregular
930,930,113944,Spiral
931,931,113951,Lenticular
932,932,113965,Elliptical
933,933,113971,Spiral
934,934,113975,Elliptical
935,935,113987,Spiral
936,936,113992,Elliptical
937,937,113999,Elliptical
938,938,114000,Lenticular
939,939,114026,Irregular
940,940,114029,Lenticular
941,941,114046,Elliptical
942,942,114059,Lenticular
943,943,114080,Bar Spiral
944,944,114117,Lenticular
945,945,114173,Elliptical
946,946,114190,Elliptical
947,947,114191,Elliptical
948,948,114207,Elliptical
949,949,114236,Spiral
950,950,114240,Irregular
951,951,114256,Spiral
952,952,114271,Elliptical
953,953,114289,Elliptical
954,954,114294,Elliptical
955,955,114305,Irregular
956,956,114319,Elliptical
957,957,114329,Irregular
958,958,114337,Elliptical
959,959,114354,Spiral
960,960,114433,Irregular
961,961,114435,Irregular
962,962,114457,Elliptical
963,963,114462,Elliptical
964,964,114464,Irregular
965,965,114502,Spiral
966,966,114517,Spiral
967,967,114550,Spiral
968,968,114570,Irregular
969,969,114586,Bar Spiral
970,970,114587,Spiral
971,971,114588,Elliptical
972,972,114600,Lenticular
973,973,114602,Irregular
974,974,114620,Lenticular
975,975,114642,Spiral
976,976,114650,Elliptical
977,977,114654,Elliptical
978,978,114658,Irregular
979,979,114682,Elliptical
980,980,114688,Spiral
981,981,114695,Elliptical
982,982,114696,Elliptical
983,983,114741,Spiral
984,984,114772,Spiral
985,985,114815,Bar Spiral
986,986,114863,Spiral
987,987,114893,Elliptical
988,988,114896,Spiral
989,989,114898,Irregular
990,990,114957,Spiral
991,991,114965,Spiral
992,992,114966,Spiral
993,993,114993,Elliptical
994,994,115031,Lenticular
995,995,115033,Lenticular
996,996,115042,Elliptical
997,997,115051,Elliptical
998,998,115073,Elliptical
999,999,115091,Irregular
1000,1000,115094,Elliptical
1001,1001,115102,Spiral
1002,1002,115106,Spiral
1003,1003,115109,Elliptical Cigar
1004,1004,115114,Spiral
1005,1005,115126,Bar Spiral
1006,1006,115132,Elliptical
1007,1007,115143,Bar Spiral
1008,1008,115163,Lenticular
1009,1009,115191,Elliptical
1010,1010,115235,Elliptical
1011,1011,115247,Irregular
1012,1012,115255,Elliptical
1013,1013,115272,Irregular
1014,1014,115275,Elliptical
1015,1015,115299,Spiral
1016,1016,115304,Irregular
1017,1017,115314,Spiral
1018,1018,115330,Elliptical
1019,1019,115339,Lenticular
1020,1020,115357,Elliptical
1021,1021,115368,Elliptical
1022,1022,115384,Elliptical Cigar
1023,1023,115385,Irregular
1024,1024,115389,Irregular
1025,1025,115390,Elliptical
1026,1026,115399,Irregular
1027,1027,115402,Spiral
1028,1028,115426,Elliptical
1029,1029,115430,Spiral
1030,1030,115449,Elliptical
1031,1031,115450,Irregular
1032,1032,115490,Irregular
1033,1033,115506,Elliptical
1034,1034,115515,Bar Spiral
1035,1035,115525,Elliptical
1036,1036,115526,Lenticular
1037,1037,115535,Spiral
1038,1038,115541,Spiral
1039,1039,115545,Elliptical
1040,1040,115560,Elliptical
1041,1041,115571,Spiral
1042,1042,115587,Bar Spiral
1043,1043,115597,Elliptical
1044,1044,115617,Irregular
1045,1045,115659,Spiral
1046,1046,115662,Spiral
1047,1047,115675,Spiral
1048,1048,115716,Elliptical
1049,1049,115718,Elliptical
1050,1050,115736,Elliptical
1051,1051,115753,Elliptical Cigar
1052,1052,115766,Irregular
1053,1053,115777,Spiral
1054,1054,115787,Elliptical
1055,1055,115815,Bar Spiral
1056,1056,115818,Spiral
1057,1057,115824,Spiral
1058,1058,115838,Elliptical
1059,1059,115840,Irregular
1060,1060,115845,Elliptical
1061,1061,115854,Elliptical
1062,1062,115858,Irregular
1063,1063,115869,Irregular
1064,1064,115870,Irregular
1065,1065,115883,Elliptical
1066,1066,115886,Elliptical
1067,1067,115891,Elliptical
1068,1068,115905,Spiral
1069,1069,115918,Elliptical
1070,1070,115938,Elliptical
1071,1071,115942,Elliptical
1072,1072,115953,Lenticular
1073,1073,116011,Elliptical
1074,1074,116043,Bar Spiral
1075,1075,116044,Lenticular
1076,1076,116045,Elliptical
1077,1077,116061,Spiral
1078,1078,116064,Spiral
1079,1079,116118,Spiral
1080,1080,116140,Spiral
1081,1081,116195,Irregular
