,Label,ImgName
146,Spiral,101991.jpg
147,Spiral,101995.jpg
148,Spiral,101997.jpg
149,Irregular,102000.jpg
150,Elliptical Cigar,102015.jpg
151,Spiral,102021.jpg
152,Bar Spiral,102027.jpg
153,Spiral,102040.jpg
154,Spiral,102046.jpg
155,Irregular,102047.jpg
156,Irregular,102113.jpg
157,Elliptical,102115.jpg
158,Lenticular,102159.jpg
159,Elliptical,102174.jpg
160,Spiral,102176.jpg
161,Elliptical,102182.jpg
162,Irregular,102243.jpg
163,Elliptical,102260.jpg
164,Irregular,102271.jpg
165,Elliptical,102295.jpg
166,Spiral,102328.jpg
167,Irregular,102347.jpg
168,Elliptical,102371.jpg
169,Spiral,102391.jpg
170,Spiral,102402.jpg
171,Lenticular,102406.jpg
172,Spiral,102407.jpg
173,Spiral,102422.jpg
174,Spiral,102433.jpg
175,Elliptical,102471.jpg
176,Irregular,102474.jpg
177,Elliptical,102481.jpg
178,Elliptical,102513.jpg
179,Elliptical,102556.jpg
180,Irregular,102595.jpg
181,Elliptical,102602.jpg
182,Elliptical,102616.jpg
183,Elliptical,102642.jpg
184,Elliptical,102649.jpg
185,Irregular,102657.jpg
186,Irregular,102699.jpg
187,Spiral,102701.jpg
188,Elliptical,102729.jpg
189,Elliptical,102731.jpg
190,Spiral,102735.jpg
191,Bar Spiral,102742.jpg
192,Elliptical,102743.jpg
193,Spiral,102765.jpg
194,Elliptical,102770.jpg
195,Elliptical,102799.jpg
196,Elliptical,102804.jpg
197,Elliptical,102808.jpg
198,Spiral,102812.jpg
199,Irregular,102822.jpg
200,Elliptical,102834.jpg
201,Elliptical,102839.jpg
202,Elliptical,102843.jpg
203,Spiral,102863.jpg
204,Elliptical Cigar,102871.jpg
205,Spiral,102874.jpg
206,Irregular,102919.jpg
207,Elliptical,102928.jpg
208,Elliptical,102933.jpg
209,Spiral,102964.jpg
210,Lenticular,102974.jpg
211,Elliptical,102977.jpg
212,Spiral,102982.jpg
213,Spiral,102990.jpg
214,Irregular,102998.jpg
215,Spiral,103019.jpg
216,Spiral,103037.jpg
217,Spiral,103040.jpg
218,Elliptical,103072.jpg
219,Bar Spiral,103075.jpg
220,Spiral,103132.jpg
221,Bar Spiral,103159.jpg
222,Irregular,103167.jpg
223,Elliptical,103191.jpg
224,Elliptical,103224.jpg
225,Elliptical,103233.jpg
226,Irregular,103246.jpg
227,Spiral,103255.jpg
228,Elliptical,103260.jpg
229,Lenticular,103318.jpg
230,Elliptical,103323.jpg
231,Elliptical,103348.jpg
232,Elliptical,103353.jpg
233,Elliptical,103354.jpg
234,Spiral,103356.jpg
235,Lenticular,103373.jpg
236,Elliptical,103386.jpg
237,Elliptical,103393.jpg
238,Elliptical Cigar,103444.jpg
239,Spiral,103445.jpg
240,Bar Spiral,103491.jpg
241,Elliptical,103500.jpg
242,Irregular,103503.jpg
243,Lenticular,103520.jpg
244,Irregular,103523.jpg
245,Bar Spiral,103533.jpg
246,Spiral,103547.jpg
247,Spiral,103561.jpg
248,Elliptical,103577.jpg
249,Irregular,103592.jpg
250,Elliptical,103610.jpg
251,Elliptical Cigar,103626.jpg
252,Elliptical,103645.jpg
253,Elliptical,103646.jpg
254,Irregular,103707.jpg
255,Elliptical,103718.jpg
256,Elliptical,103731.jpg
257,Lenticular,103750.jpg
258,Irregular,103751.jpg
259,Irregular,103754.jpg
260,Elliptical,103758.jpg
261,Lenticular,103769.jpg
262,Spiral,103787.jpg
263,Spiral,103818.jpg
264,Elliptical,103819.jpg
265,Spiral,103824.jpg
266,Lenticular,103882.jpg
267,Elliptical,103900.jpg
268,Elliptical,103902.jpg
269,Elliptical,103904.jpg
270,Elliptical,103907.jpg
271,Spiral,103950.jpg
272,Elliptical,103955.jpg
273,Irregular,103974.jpg
274,Spiral,103979.jpg
275,Lenticular,103999.jpg
276,Spiral,104001.jpg
277,Lenticular,104008.jpg
278,Spiral,104020.jpg
279,Spiral,104040.jpg
280,Spiral,104041.jpg
281,Elliptical,104096.jpg
282,Elliptical,104110.jpg
283,Bar Spiral,104131.jpg
284,Elliptical Cigar,104141.jpg
285,Elliptical,104143.jpg
286,Elliptical,104159.jpg
287,Elliptical,104173.jpg
288,Elliptical,104196.jpg
289,Spiral,104212.jpg
290,Spiral,104216.jpg
291,Lenticular,104222.jpg
292,Spiral,104234.jpg
293,Elliptical,104243.jpg
294,Elliptical,104253.jpg
295,Spiral,104267.jpg
296,Spiral,104268.jpg
297,Irregular,104279.jpg
298,Elliptical,104281.jpg
299,Spiral,104287.jpg
300,Spiral,104310.jpg
301,Spiral,104314.jpg
302,Spiral,104317.jpg
303,Spiral,104354.jpg
304,Irregular,104365.jpg
305,Elliptical,104387.jpg
306,Spiral,104389.jpg
307,Spiral,104398.jpg
308,Irregular,104414.jpg
309,Spiral,104420.jpg
310,Elliptical,104422.jpg
311,Elliptical,104440.jpg
312,Elliptical Cigar,104460.jpg
313,Spiral,104478.jpg
314,Elliptical,104516.jpg
315,Spiral,104536.jpg
316,Irregular,104540.jpg
317,Spiral,104589.jpg
318,Elliptical,104602.jpg
319,Bar Spiral,104608.jpg
320,Spiral,104610.jpg
321,Elliptical,104611.jpg
322,Elliptical,104612.jpg
323,Bar Spiral,104624.jpg
324,Elliptical,104703.jpg
325,Elliptical,104709.jpg
326,Spiral,104721.jpg
327,Spiral,104723.jpg
328,Irregular,104751.jpg
329,Elliptical,104764.jpg
330,Elliptical,104769.jpg
331,Spiral,104784.jpg
332,Bar Spiral,104788.jpg
333,Irregular,104819.jpg
334,Spiral,104830.jpg
335,Lenticular,104920.jpg
336,Elliptical,104929.jpg
337,Bar Spiral,104934.jpg
338,Spiral,104962.jpg
339,Irregular,104977.jpg
340,Elliptical,104988.jpg
341,Lenticular,104991.jpg
342,Bar Spiral,105009.jpg
343,Irregular,105014.jpg
344,Elliptical,105020.jpg
345,Irregular,105028.jpg
346,Bar Spiral,105056.jpg
347,Bar Spiral,105069.jpg
348,Irregular,105070.jpg
349,Elliptical,105082.jpg
350,Elliptical,105088.jpg
351,Elliptical,105092.jpg
352,Irregular,105117.jpg
353,Elliptical,105165.jpg
354,Lenticular,105201.jpg
355,Lenticular,105216.jpg
356,Spiral,105218.jpg
357,Lenticular,105221.jpg
358,Lenticular,105257.jpg
359,Elliptical,105258.jpg
360,Elliptical,105279.jpg
361,Spiral,105314.jpg
362,Elliptical Cigar,105331.jpg
363,Irregular,105334.jpg
364,Elliptical,105354.jpg
365,Spiral,105364.jpg
366,Spiral,105365.jpg
367,Spiral,105381.jpg
368,Spiral,105417.jpg
369,Elliptical,105447.jpg
370,Elliptical Cigar,105459.jpg
371,Spiral,105497.jpg
372,Spiral,105500.jpg
373,Elliptical,105507.jpg
374,Spiral,105513.jpg
375,Lenticular,105529.jpg
376,Spiral,105539.jpg
377,Elliptical,105541.jpg
378,Spiral,105572.jpg
379,Spiral,105576.jpg
380,Elliptical,105581.jpg
381,Spiral,105613.jpg
382,Spiral,105631.jpg
383,Elliptical,105648.jpg
384,Lenticular,105653.jpg
385,Bar Spiral,105700.jpg
386,Spiral,105743.jpg
387,Elliptical,105755.jpg
388,Elliptical,105757.jpg
389,Spiral,105758.jpg
390,Elliptical,105762.jpg
391,Spiral,105764.jpg
392,Elliptical,105772.jpg
393,Spiral,105774.jpg
394,Spiral,105787.jpg
395,Elliptical,105797.jpg
396,Bar Spiral,105846.jpg
397,Irregular,105868.jpg
398,Elliptical,105870.jpg
399,Lenticular,105879.jpg
400,Irregular,105881.jpg
401,Irregular,105900.jpg
402,Lenticular,105902.jpg
403,Spiral,105925.jpg
404,Spiral,105940.jpg
405,Bar Spiral,105973.jpg
406,Lenticular,105983.jpg
407,Lenticular,105984.jpg
408,Lenticular,105986.jpg
409,Elliptical,105991.jpg
410,Elliptical,106000.jpg
411,Elliptical Cigar,106018.jpg
412,Elliptical,106028.jpg
413,Spiral,106039.jpg
414,Elliptical,106040.jpg
415,Elliptical,106044.jpg
416,Irregular,106049.jpg
417,Lenticular,106059.jpg
418,Irregular,106079.jpg
419,Elliptical,106105.jpg
420,Elliptical,106124.jpg
421,Elliptical,106147.jpg
422,Spiral,106165.jpg
423,Elliptical,106170.jpg
424,Spiral,106176.jpg
425,Spiral,106199.jpg
426,Elliptical,106205.jpg
427,Irregular,106206.jpg
428,Irregular,106230.jpg
429,Spiral,106263.jpg
430,Spiral,106275.jpg
431,Spiral,106298.jpg
432,Spiral,106355.jpg
433,Irregular,106357.jpg
434,Elliptical,106388.jpg
435,Spiral,106390.jpg
436,Irregular,106409.jpg
437,Spiral,106429.jpg
438,Spiral,106432.jpg
439,Elliptical,106463.jpg
440,Irregular,106471.jpg
441,Spiral,106499.jpg
442,Spiral,106514.jpg
443,Elliptical,106544.jpg
444,Elliptical,106612.jpg
445,Bar Spiral,106621.jpg
446,Lenticular,106646.jpg
447,Elliptical,106652.jpg
448,Spiral,106664.jpg
449,Spiral,106670.jpg
450,Elliptical,106689.jpg
451,Elliptical,106694.jpg
452,Spiral,106705.jpg
453,Irregular,106725.jpg
454,Lenticular,106739.jpg
455,Elliptical,106749.jpg
456,Elliptical,106773.jpg
457,Spiral,106777.jpg
458,Elliptical,106781.jpg
459,Spiral,106784.jpg
460,Spiral,106788.jpg
461,Elliptical,106800.jpg
462,Lenticular,106803.jpg
463,Elliptical,106812.jpg
464,Lenticular,106819.jpg
465,Elliptical,106829.jpg
466,Elliptical,106841.jpg
467,Spiral,106882.jpg
468,Spiral,106885.jpg
469,Irregular,106886.jpg
470,Elliptical,106896.jpg
471,Elliptical,106919.jpg
472,Elliptical,106923.jpg
473,Lenticular,106931.jpg
474,Irregular,106944.jpg
475,Elliptical,106973.jpg
476,Spiral,106986.jpg
477,Spiral,107012.jpg
478,Elliptical,107019.jpg
479,Elliptical,107055.jpg
480,Spiral,107064.jpg
481,Spiral,107084.jpg
482,Elliptical,107106.jpg
483,Spiral,107117.jpg
484,Elliptical,107143.jpg
485,Spiral,107159.jpg
486,Irregular,107193.jpg
487,Spiral,107197.jpg
488,Spiral,107202.jpg
489,Spiral,107229.jpg
490,Spiral,107231.jpg
491,Elliptical,107261.jpg
492,Spiral,107268.jpg
493,Irregular,107272.jpg
494,Lenticular,107290.jpg
495,Elliptical,107298.jpg
496,Spiral,107314.jpg
497,Bar Spiral,107355.jpg
498,Spiral,107374.jpg
499,Bar Spiral,107379.jpg
500,Irregular,107383.jpg
501,Elliptical Cigar,107388.jpg
502,Elliptical,107394.jpg
503,Elliptical,107403.jpg
504,Spiral,107406.jpg
505,Spiral,107415.jpg
506,Spiral,107422.jpg
507,Irregular,107434.jpg
508,Elliptical,107435.jpg
509,Spiral,107454.jpg
510,Elliptical,107461.jpg
511,Spiral,107466.jpg
512,Elliptical,107480.jpg
513,Irregular,107496.jpg
514,Elliptical,107510.jpg
515,Spiral,107517.jpg
516,Elliptical,107521.jpg
517,Spiral,107524.jpg
518,Elliptical,107527.jpg
519,Elliptical,107539.jpg
520,Elliptical,107553.jpg
521,Spiral,107555.jpg
522,Spiral,107559.jpg
523,Elliptical,107560.jpg
524,Bar Spiral,107562.jpg
525,Spiral,107563.jpg
526,Elliptical,107573.jpg
527,Elliptical,107576.jpg
528,Spiral,107583.jpg
529,Spiral,107593.jpg
530,Spiral,107597.jpg
531,Bar Spiral,107606.jpg
532,Elliptical,107608.jpg
533,Elliptical,107610.jpg
534,Spiral,107613.jpg
535,Irregular,107616.jpg
536,Elliptical,107619.jpg
537,Spiral,107627.jpg
538,Spiral,107629.jpg
539,Spiral,107631.jpg
540,Lenticular,107660.jpg
541,Elliptical,107688.jpg
542,Elliptical,107692.jpg
543,Spiral,107709.jpg
544,Spiral,107720.jpg
545,Lenticular,107736.jpg
546,Spiral,107745.jpg
547,Spiral,107747.jpg
548,Elliptical Cigar,107794.jpg
549,Spiral,107810.jpg
550,Elliptical,107823.jpg
551,Elliptical,107828.jpg
552,Irregular,107831.jpg
553,Elliptical,107849.jpg
554,Irregular,107859.jpg
555,Elliptical,107888.jpg
556,Lenticular,107943.jpg
557,Spiral,107946.jpg
558,Spiral,107951.jpg
559,Elliptical,107954.jpg
560,Elliptical,107961.jpg
561,Elliptical,107966.jpg
562,Elliptical,107967.jpg
563,Spiral,107972.jpg
564,Elliptical,107975.jpg
565,Irregular,107985.jpg
566,Lenticular,107987.jpg
567,Spiral,108012.jpg
568,Elliptical,108017.jpg
569,Bar Spiral,108038.jpg
570,Lenticular,108041.jpg
571,Spiral,108051.jpg
572,Elliptical,108066.jpg
573,Irregular,108088.jpg
574,Irregular,108103.jpg
575,Bar Spiral,108105.jpg
576,Elliptical,108111.jpg
577,Elliptical,108146.jpg
578,Elliptical,108160.jpg
579,Elliptical,108182.jpg
580,Elliptical,108195.jpg
581,Elliptical,108207.jpg
582,Spiral,108225.jpg
583,Spiral,108251.jpg
584,Spiral,108272.jpg
585,Elliptical,108305.jpg
586,Spiral,108326.jpg
587,Elliptical,108481.jpg
588,Lenticular,108497.jpg
589,Lenticular,108507.jpg
590,Elliptical,108545.jpg
591,Elliptical,108551.jpg
592,Spiral,108574.jpg
593,Elliptical,108580.jpg
594,Elliptical,108584.jpg
595,Spiral,108601.jpg
596,Spiral,108608.jpg
597,Elliptical,108624.jpg
598,Spiral,108642.jpg
599,Elliptical,108645.jpg
600,Irregular,108649.jpg
601,Elliptical,108661.jpg
602,Elliptical,108672.jpg
603,Irregular,108692.jpg
604,Irregular,108715.jpg
605,Elliptical,108717.jpg
606,Spiral,108742.jpg
607,Elliptical,108757.jpg
608,Irregular,108764.jpg
609,Spiral,108772.jpg
610,Spiral,108779.jpg
611,Irregular,108786.jpg
612,Elliptical,108914.jpg
613,Elliptical,108917.jpg
614,Elliptical,108920.jpg
615,Elliptical,108928.jpg
616,Bar Spiral,108929.jpg
617,Bar Spiral,108947.jpg
618,Elliptical Cigar,108952.jpg
619,Elliptical Cigar,108959.jpg
620,Spiral,108961.jpg
621,Spiral,108979.jpg
622,Spiral,108985.jpg
623,Elliptical,108988.jpg
624,Elliptical,108991.jpg
625,Irregular,108994.jpg
626,Spiral,109011.jpg
627,Elliptical,109033.jpg
628,Elliptical,109074.jpg
629,Irregular,109083.jpg
630,Lenticular,109096.jpg
631,Elliptical,109098.jpg
632,Spiral,109112.jpg
633,Irregular,109124.jpg
634,Elliptical,109127.jpg
635,Bar Spiral,109132.jpg
636,Spiral,109135.jpg
637,Elliptical,109155.jpg
638,Elliptical,109180.jpg
639,Elliptical,109215.jpg
640,Lenticular,109255.jpg
641,Spiral,109266.jpg
642,Irregular,109282.jpg
643,Elliptical,109292.jpg
644,Elliptical,109330.jpg
645,Irregular,109333.jpg
646,Elliptical,109360.jpg
647,Spiral,109361.jpg
648,Bar Spiral,109366.jpg
649,Spiral,109380.jpg
650,Elliptical,109402.jpg
651,Elliptical,109404.jpg
652,Lenticular,109414.jpg
653,Lenticular,109422.jpg
654,Spiral,109449.jpg
655,Irregular,109509.jpg
656,Lenticular,109529.jpg
657,Bar Spiral,109568.jpg
658,Elliptical,109595.jpg
659,Elliptical,109623.jpg
660,Bar Spiral,109629.jpg
661,Elliptical,109630.jpg
662,Elliptical Cigar,109682.jpg
663,Spiral,109688.jpg
664,Elliptical,109699.jpg
665,Elliptical,109715.jpg
666,Spiral,109718.jpg
667,Elliptical Cigar,109727.jpg
668,Elliptical,109740.jpg
669,Spiral,109744.jpg
670,Elliptical,109750.jpg
671,Bar Spiral,109772.jpg
672,Irregular,109780.jpg
673,Elliptical,109827.jpg
674,Spiral,109868.jpg
675,Irregular,109879.jpg
676,Lenticular,109885.jpg
677,Irregular,109888.jpg
678,Spiral,109946.jpg
679,Elliptical,109977.jpg
680,Spiral,110034.jpg
681,Spiral,110063.jpg
682,Elliptical,110074.jpg
683,Elliptical,110076.jpg
684,Spiral,110109.jpg
685,Irregular,110118.jpg
686,Elliptical,110121.jpg
687,Elliptical,110129.jpg
688,Elliptical,110139.jpg
689,Elliptical,110149.jpg
690,Elliptical,110178.jpg
691,Elliptical,110195.jpg
692,Irregular,110217.jpg
693,Elliptical Cigar,110250.jpg
694,Spiral,110285.jpg
695,Elliptical,110306.jpg
696,Elliptical,110313.jpg
697,Bar Spiral,110339.jpg
698,Elliptical Cigar,110348.jpg
699,Elliptical,110349.jpg
700,Irregular,110364.jpg
701,Irregular,110370.jpg
702,Spiral,110375.jpg
703,Spiral,110384.jpg
704,Elliptical,110388.jpg
705,Irregular,110389.jpg
706,Spiral,110404.jpg
707,Elliptical Cigar,110411.jpg
708,Spiral,110429.jpg
709,Irregular,110465.jpg
710,Spiral,110466.jpg
711,Elliptical,110480.jpg
712,Spiral,110521.jpg
713,Spiral,110528.jpg
714,Elliptical,110538.jpg
715,Irregular,110566.jpg
716,Spiral,110596.jpg
717,Spiral,110619.jpg
718,Spiral,110633.jpg
719,Elliptical,110636.jpg
720,Spiral,110676.jpg
721,Spiral,110678.jpg
722,Spiral,110695.jpg
723,Bar Spiral,110707.jpg
724,Spiral,110710.jpg
725,Spiral,110713.jpg
726,Irregular,110719.jpg
727,Irregular,110746.jpg
728,Spiral,110763.jpg
729,Irregular,110789.jpg
730,Elliptical,110805.jpg
731,Spiral,110808.jpg
732,Elliptical,110821.jpg
733,Spiral,110837.jpg
734,Spiral,110844.jpg
735,Elliptical,110858.jpg
736,Spiral,110887.jpg
737,Spiral,110923.jpg
738,Irregular,110964.jpg
739,Bar Spiral,110966.jpg
740,Irregular,111022.jpg
741,Elliptical,111038.jpg
742,Spiral,111121.jpg
743,Spiral,111123.jpg
744,Spiral,111125.jpg
745,Spiral,111141.jpg
746,Elliptical,111142.jpg
747,Elliptical,111149.jpg
748,Lenticular,111175.jpg
749,Irregular,111182.jpg
750,Elliptical,111207.jpg
751,Elliptical,111223.jpg
752,Elliptical,111240.jpg
753,Elliptical,111245.jpg
754,Elliptical,111259.jpg
755,Irregular,111266.jpg
756,Elliptical,111274.jpg
757,Lenticular,111286.jpg
758,Elliptical,111298.jpg
759,Lenticular,111302.jpg
760,Bar Spiral,111305.jpg
761,Elliptical,111312.jpg
762,Elliptical,111383.jpg
763,Elliptical,111398.jpg
764,Elliptical,111399.jpg
765,Elliptical,111411.jpg
766,Elliptical,111417.jpg
767,Elliptical,111428.jpg
768,Elliptical,111481.jpg
769,Irregular,111484.jpg
770,Irregular,111491.jpg
771,Elliptical Cigar,111499.jpg
772,Spiral,111514.jpg
773,Spiral,111534.jpg
774,Spiral,111552.jpg
775,Lenticular,111553.jpg
776,Elliptical,111597.jpg
777,Bar Spiral,111615.jpg
778,Spiral,111622.jpg
779,Spiral,111658.jpg
780,Elliptical Cigar,111660.jpg
781,Lenticular,111667.jpg
782,Elliptical,111681.jpg
783,Spiral,111715.jpg
784,Irregular,111716.jpg
785,Elliptical,111725.jpg
786,Irregular,111727.jpg
787,Irregular,111743.jpg
788,Elliptical,111753.jpg
789,Spiral,111770.jpg
790,Spiral,111775.jpg
791,Bar Spiral,111791.jpg
792,Spiral,111792.jpg
793,Elliptical,111793.jpg
794,Spiral,111799.jpg
795,Irregular,111804.jpg
796,Spiral,111834.jpg
797,Elliptical,111839.jpg
798,Spiral,111858.jpg
799,Spiral,111879.jpg
800,Spiral,111882.jpg
801,Irregular,111883.jpg
802,Lenticular,111910.jpg
803,Irregular,111924.jpg
804,Elliptical,111937.jpg
805,Lenticular,111979.jpg
806,Elliptical,111980.jpg
807,Elliptical Cigar,112016.jpg
808,Irregular,112017.jpg
809,Spiral,112034.jpg
810,Spiral,112072.jpg
811,Elliptical,112119.jpg
812,Irregular,112122.jpg
813,Spiral,112125.jpg
814,Elliptical,112135.jpg
815,Elliptical,112148.jpg
816,Elliptical,112167.jpg
817,Spiral,112177.jpg
818,Spiral,112188.jpg
819,Spiral,112196.jpg
820,Elliptical,112229.jpg
821,Bar Spiral,112245.jpg
822,Elliptical,112254.jpg
823,Bar Spiral,112259.jpg
824,Spiral,112263.jpg
825,Spiral,112282.jpg
826,Elliptical,112311.jpg
827,Irregular,112314.jpg
828,Spiral,112345.jpg
829,Elliptical,112359.jpg
830,Spiral,112404.jpg
831,Spiral,112420.jpg
832,Spiral,112438.jpg
833,Bar Spiral,112444.jpg
834,Spiral,112479.jpg
835,Elliptical,112512.jpg
836,Spiral,112518.jpg
837,Irregular,112527.jpg
838,Irregular,112536.jpg
839,Irregular,112538.jpg
840,Elliptical,112574.jpg
841,Spiral,112586.jpg
842,Elliptical,112592.jpg
843,Bar Spiral,112623.jpg
844,Irregular,112627.jpg
845,Elliptical,112628.jpg
846,Bar Spiral,112665.jpg
847,Spiral,112674.jpg
848,Elliptical,112678.jpg
849,Spiral,112698.jpg
850,Irregular,112700.jpg
851,Irregular,112726.jpg
852,Elliptical,112764.jpg
853,Spiral,112769.jpg
854,Elliptical,112814.jpg
855,Elliptical Cigar,112819.jpg
856,Spiral,112824.jpg
857,Elliptical,112826.jpg
858,Lenticular,112835.jpg
859,Elliptical,112841.jpg
860,Lenticular,112843.jpg
861,Elliptical,112846.jpg
862,Spiral,112873.jpg
863,Elliptical,112918.jpg
864,Elliptical,112964.jpg
865,Elliptical,112965.jpg
866,Lenticular,112988.jpg
867,Bar Spiral,112997.jpg
868,Elliptical,113072.jpg
869,Irregular,113102.jpg
870,Elliptical,113118.jpg
871,Elliptical,113142.jpg
872,Elliptical,113149.jpg
873,Irregular,113166.jpg
874,Spiral,113168.jpg
875,Irregular,113196.jpg
876,Elliptical,113267.jpg
877,Spiral,113271.jpg
878,Irregular,113279.jpg
879,Spiral,113284.jpg
880,Spiral,113289.jpg
881,Bar Spiral,113303.jpg
882,Elliptical,113305.jpg
883,Spiral,113317.jpg
884,Irregular,113322.jpg
885,Elliptical,113373.jpg
886,Elliptical,113394.jpg
887,Bar Spiral,113402.jpg
888,Irregular,113417.jpg
889,Elliptical,113418.jpg
890,Elliptical,113420.jpg
891,Spiral,113436.jpg
892,Elliptical,113444.jpg
893,Elliptical,113452.jpg
894,Elliptical,113457.jpg
895,Spiral,113470.jpg
896,Spiral,113475.jpg
897,Irregular,113477.jpg
898,Elliptical,113483.jpg
899,Bar Spiral,113509.jpg
900,Bar Spiral,113510.jpg
901,Spiral,113512.jpg
902,Elliptical,113516.jpg
903,Elliptical,113518.jpg
904,Elliptical,113539.jpg
905,Lenticular,113553.jpg
906,Bar Spiral,113556.jpg
907,Elliptical,113566.jpg
908,Spiral,113567.jpg
909,Irregular,113608.jpg
910,Lenticular,113609.jpg
911,Lenticular,113617.jpg
912,Irregular,113622.jpg
913,Irregular,113641.jpg
914,Spiral,113655.jpg
915,Elliptical,113672.jpg
916,Spiral,113692.jpg
917,Irregular,113746.jpg
918,Elliptical,113761.jpg
919,Elliptical Cigar,113766.jpg
920,Spiral,113779.jpg
921,Elliptical,113813.jpg
922,Spiral,113823.jpg
923,Elliptical,113828.jpg
924,Elliptical,113845.jpg
925,Elliptical,113857.jpg
926,Spiral,113858.jpg
927,Elliptical,113903.jpg
928,Elliptical,113913.jpg
929,Irregular,113940.jpg
930,Spiral,113944.jpg
931,Lenticular,113951.jpg
932,Elliptical,113965.jpg
933,Spiral,113971.jpg
934,Elliptical,113975.jpg
935,Spiral,113987.jpg
936,Elliptical,113992.jpg
937,Elliptical,113999.jpg
938,Lenticular,114000.jpg
939,Irregular,114026.jpg
940,Lenticular,114029.jpg
941,Elliptical,114046.jpg
942,Lenticular,114059.jpg
943,Bar Spiral,114080.jpg
944,Lenticular,114117.jpg
945,Elliptical,114173.jpg
